Project Name	Start Time	Elapsed Time	Momentary Overload	LAeq	NC	NCDecisiveBand	NR	NRDecisiveBand	NCB	NCBCriteria	RC	RCCriteria	Loudness	Loudness_Level	exclude	bull	truck	Marker4	Marker5	Sound	Sound Path	Comment	Comment Path	Note	Note Path	Image	Image Path	Attachment	Marker6	Marker7	Marker8	Marker9	Marker10	Time
GL 22  007	16/11/2021 8:56:07	0:00:01	0	35,91	30	1000	32	1000	28	(H)	30	(HF) Marginal	2,33	52,22	1	0	0	0	0	1	L:\M05\GELUID\Projecten\stiltegebied Moervaartvallei\metingen\2021herfst\stilte2021herfst\Users\2250\Top.Job\GL 22  007.LoggingCPB.Project\ProfileAnnotations.PAnnotations\SR0.wav	0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:08	0:00:01	0	36,99	33	2000	35	2000	30	(H)	31	(HF) Objectionable	2,53	53,4	1	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:09	0:00:01	0	39,65	37	1000	38	1000	31	(H)	33	(HF) Objectionable	2,69	54,28	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:10	0:00:01	0	34,01	29	1000	31	1000	25	(H)	27	(HF) Marginal	1,77	48,25	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:11	0:00:01	0	34,62	30	1000	32	1000	26	(H)	28	(HF) Marginal	1,85	48,84	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:12	0:00:01	0	34,74	31	2000	33	2000	25	(H)	28	(HF) Marginal	1,8	48,45	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:13	0:00:01	0	34,98	30	1000	32	1000	26	(H)	28	(HF) Objectionable	1,9	49,28	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:14	0:00:01	0	34,98	30	1000	32	1000	25	(H)	28	(HF) Marginal	1,89	49,19	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:15	0:00:01	0	35,79	32	1000	33	1000	26	(H)	29	(HF) Marginal	1,94	49,57	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:16	0:00:01	0	34,9	30	1000	32	1000	27	(H)	28	(HF) Objectionable	1,96	49,72	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:17	0:00:01	0	34,67	30	1000	32	1000	26	(H)	28	(HF) Marginal	1,8	48,46	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:18	0:00:01	0	33,84	29	1000	31	1000	24	(H)	27	(HF) Marginal	1,57	46,54	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:19	0:00:01	0	34,81	30	1000	32	1000	26	(H)	29	(HF) Objectionable	1,67	47,36	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:20	0:00:01	0	37,24	33	2000	35	2000	30	(H)	31	(HF) Objectionable	2,4	52,65	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:21	0:00:01	0	34,2	29	1000	31	1000	26	(H)	28	(HF) Objectionable	1,71	47,71	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:22	0:00:01	0	34,96	30	1000	32	1000	27	(H)	29	(HF) Objectionable	1,88	49,09	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:23	0:00:01	0	37,07	34	2000	36	2000	29	(H)	31	(HF) Objectionable	2,23	51,57	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
GL 22  007	16/11/2021 8:56:24	0:00:01	0	36,06	32	1000	34	2000	28	(H)	30	(HF) Objectionable	2,05	50,34	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0
