Project Name	Start Time	Elapsed Time	Momentary Overload	LAFTeq	LAFmax	LASmax	LAImax	LCFmax	LCSmax	LCImax	LAFmin	LASmin	LAImin	LCFmin	LCSmin	LCImin	LCpeak	LAIeq	LCIeq	LAeq	LCeq	LAE	LCE	LAIeq-LAeq	LCeq-LAeq	LAFTeq-LAeq	Overload	LAF1,0	LAF5,0	LAF10,0	LAF50,0	LAF90,0	LAF95,0	LAF99,0	StdDev	LavS5	LAeq,15,mov	LAeq,60,mov	LCeq,15,mov	LCeq,60,mov	?öLeq,15,mov	?öLeq,60,mov	Wind Dir. avg	Wind Dir. min	Wind Dir. max	Wind Speed avg	Wind Speed min	Wind Speed max	Amb. Temperature	Amb. Humidity	Amb. Pressure	Amb. Rain Gauge	Trig. Input Voltage	Avg. RPM	NC	NCDecisiveBand	NR	NRDecisiveBand	NCB	NCBCriteria	RC	RCCriteria	Loudness	Loudness_Level	SIL	PSIL	SIL3	LZeq (20 Hz-200 Hz)	Exclude	hockey	pauze	resid	mark5	Sound	Sound Path	Comment	Comment Path	Note	Note Path	Image	Image Path	Attachment	Marker6	Marker7	Marker8	Marker9	Marker10
GL75-050	20/05/2024 20:04:42	0:00:01	0		44,68	42,45	45,8	49,39	47	50,26							61,84	45,06	49,67	43,01	48,12	43,01	48,12	2,05	5,11		0									41,52	43,01	43,01	48,12	48,12	5,11	5,11	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	38	2000	42	8000	36	(H)	37	(HF) Objectionable	4,46	61,58	36,36	36,93	35,39	50,16	0	0	0	0	0	1	\\netapp03\pcmarchief\Themas WM\Geluid\ARCHIEF OPDRACHTEN\2021-2025\2024\Glo24\M05-2024-104_Sint-Genesius-Rode_Hockeyvelden Hoekies\meet\2024104\m052024104\Users\2250\Top.Job\GL75-050.EnhancedLoggingCPB.Project\ProfileAnnotations.PAnnotations\SR0.wav	0		0		0		0	0	0	0	0	0
GL75-050	20/05/2024 20:04:43	0:00:01	0		44,25	42,02	47,28	48,3	47,17	49,85	38,68		42,17	45,8		47,68	61,78	44,61	48,68	41,69	47,21	41,69	47,21	2,92	5,52		0	44,2	43,6	43,06	40,96	39,2	38,9	38,66	1,45	41,62	42,4	42,4	47,69	47,69	5,29	5,29	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	37	8000	41	8000	35	(H)	36	(HF) Objectionable	4	60	35,07	35,85	33,97	47,18	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0
GL75-050	20/05/2024 20:04:44	0:00:01	0		46,18	43,49	47,19	49,74	48,19	50,95	40,5	42,02	44,83	47,01	47,12	48,84	61,83	46,16	49,99	43,63	48,51	43,63	48,51	2,53	4,88		0	46,13	45,86	45,64	43,8	40,9	40,68	40,46	1,74	43,03	42,85	42,85	47,98	47,98	5,13	5,13	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	39	500	40	2000	37	(H)	38	(HF) Objectionable	4,54	61,82	36,98	38,33	35,08	46,91	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0
GL75-050	20/05/2024 20:04:45	0:00:01	0		46,4	43,87	47,63	51,48	49,37	53,64	40,57	42,37	44,17	47,58	47,9	48,86	65,21	46,04	52,38	43,97	49,9	43,97	49,9	2,07	5,93		0	46,4	46,15	45,86	43,55	41,28	41,05	40,8	1,64	42,9	43,16	43,16	48,55	48,55	5,39	5,39	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	39	4000	42	4000	38	(H)	38	(HF) Objectionable	4,87	62,85	37,59	37,83	36,84	50,86	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0
GL75-050	20/05/2024 20:04:46	0:00:01	0		57,6	52,14	60,69	63,18	57,14	65,76	41,86	43,33	46,08	47,76	49,01	51,35	79,15	56,42	60,44	52,8	57,77	52,8	57,77	3,62	4,97		0	57,4	57,2	56,5	51,6	42,24	42,04	41,85	5,72	47,93	47,38	47,38	52,48	52,48	5,1	5,1	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	49	2000	51	2000	46	(H)	47	(HF) Objectionable	8,78	71,33	46,37	47,3	46,19	56,96	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0
GL75-050	20/05/2024 20:04:47	0:00:01	0		58,33	53,8	62,62	65,41	59,99	68,99	42,76	51,46	59,6	54,11	56,82	64,99	84,38	61,25	67,59	52,85	60,11	52,85	60,11	8,4	7,26		0	58,2	57,8	57,46	51,8	44,6	43,6	42,8	4,45	52,88	48,9	48,9	55,03	55,03	6,13	6,13	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	49	2000	51	2000	46	(H)	47	(HF) Objectionable	8,85	71,45	46,05	47,35	45,85	63,18	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0
GL75-050	20/05/2024 20:04:48	0:00:01	0		52,07	51,54	59,96	54,29	58,33	66,38	40,7	49,49	57,06	50,05	55,29	63,48	72,44	58,58	65,01	47,53	51,42	47,53	51,42	11,05	3,89		0	52	51,8	51,2	45,53	41,28	41,05	40,7	3,79	50,39	48,73	48,73	54,66	54,66	5,93	5,93	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	43	2000	46	4000	41	(H)	41	(HF) Objectionable	6,24	66,41	41,03	41,15	40,81	53,69	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0
GL75-050	20/05/2024 20:04:49	0:00:01	0		53,46	50,47	57,7	57,35	55,93	63,48	39,24	47,16	54,98	48,9	53,7	60,59	76,03	56,45	62,11	46,23	53,36	46,23	53,36	10,22	7,13		0	53,4	52,5	51,2	43	40,32	40	39,4	4,03	48,91	48,49	48,49	54,52	54,52	6,03	6,03	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	41	500	42	1000	39	(H)	42	(HF) Objectionable	5,23	63,87	39,44	41,67	37,75	55,79	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0
GL75-050	20/05/2024 20:04:50	0:00:01	0		47,2	47,16	54,98	52,25	53,7	60,59	40,48	45,22	52,09	48,1	52,25	57,69	66,98	53,61	59,22	43,83	51,25	43,83	51,25	9,78	7,42		0	47	46,4	45,96	42,93	40,68	40,52	40,42	1,95	46,29	48,16	48,16	54,26	54,26	6,1	6,1	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	38	1000	41	4000	37	(H)	38	(HF) Objectionable	4,81	62,65	37,38	38	36,88	52,23	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0
GL75-050	20/05/2024 20:04:51	0:00:01	0		47,13	45,22	52,08	55,65	52,57	57,69	39,97	43,84	49,19	48,51	51,3	55,85	67,33	50,71	56,89	42,77	51,61	42,77	51,61	7,94	8,84		0	46,9	46,56	46	41,78	40,55	40,44	40	1,89	44,44	47,84	47,84	54,06	54,06	6,22	6,22	-32768	-32768	-32768	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	-1,79769313486232E+308	0	0	37	500	38	500	35	(H)	36	(HF) Objectionable	4,33	61,14	34,94	36,46	32,77	51,3	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0
