isodatetime	laeq1s	exclude	m2	m3	m4	soundpath	lzeq25hz	lzeq31.5hz	lzeq40hz	lzeq50hz	lzeq63hz	lzeq80hz	lzeq100hz	lzeq125hz	lzeq160hz	lzeq200hz	lzeq250hz	lzeq315hz	lzeq400hz	lzeq500hz	lzeq630hz	lzeq800hz	lzeq1khz	lzeq1.25khz	lzeq1.6khz	lzeq2khz	lzeq2.5khz	lzeq3.15khz	lzeq4khz	lzeq5khz	lzeq6.3khz	lzeq8khz	lzeq10khz	lzeq12.5khz	lzeq16khz	lzeq20khz
2021-01-02 06:45:12	71.5						40.9	41.1	40.7	37.1	48.3	42.1	54.6	60.6	68.4	64.5	60.4	68.8	71.7	68.9	51.2	57.2	59.6	63.6	57.0	50.9	48.3	47.1	44.0	36.9	34.6	33.8	32.0	28.3	23.3	17.4
2021-01-02 06:45:13	72.2						38.8	39.3	39.7	33.7	42.0	38.5	51.9	58.1	75.6	59.7	56.1	73.0	71.3	60.8	48.6	54.9	62.3	62.2	57.0	52.3	46.5	44.0	40.9	34.9	32.4	30.4	29.0	26.5	22.2	17.3
2021-01-02 06:45:14	67.6						39.0	41.2	39.5	35.6	40.5	37.5	47.5	55.2	67.4	54.2	52.6	59.5	70.6	57.7	42.7	49.1	45.6	57.1	55.3	45.1	37.5	35.7	35.1	33.5	33.5	33.9	32.5	28.9	23.6	17.8
2021-01-02 06:45:15	68.9						38.0	44.2	38.3	38.5	43.0	38.2	50.2	56.5	60.0	55.8	54.8	62.7	71.3	66.7	45.3	48.0	51.3	56.8	56.9	46.3	40.9	35.8	35.2	31.4	30.7	31.5	29.6	25.6	19.7	14.7
2021-01-02 06:45:16	72.4						40.2	46.9	41.3	39.9	48.1	43.4	52.9	71.1	66.4	57.6	57.2	65.1	75.1	64.9	50.5	53.8	54.4	57.6	62.2	54.8	44.8	42.1	40.7	36.7	30.6	28.6	25.7	23.2	19.6	15.4
2021-01-02 06:45:17	69.3						40.7	46.5	39.9	36.7	45.2	40.9	51.6	68.4	63.3	55.7	54.2	61.7	72.6	59.2	47.4	48.6	46.7	54.5	58.7	48.4	38.7	37.5	35.1	32.3	29.0	26.8	24.9	23.6	20.2	16.1
2021-01-02 06:45:18	71.3						41.5	46.7	43.3	40.4	48.3	44.3	54.0	62.4	56.9	58.3	56.5	65.1	74.0	67.4	48.6	54.6	50.6	56.2	57.5	49.4	47.5	42.1	39.0	35.1	30.4	27.9	26.3	23.9	20.8	16.5
2021-01-02 06:45:19	74.2						40.8	51.4	43.5	42.4	50.3	46.3	56.0	62.7	62.5	60.9	60.2	69.9	76.2	72.7	54.1	57.5	56.2	59.6	60.6	55.9	47.1	45.8	45.6	37.5	32.4	29.5	26.7	24.1	21.2	17.8
2021-01-02 06:45:20	73.6						43.5	50.5	45.0	41.6	49.1	45.6	55.2	60.6	70.7	59.5	58.4	73.8	75.3	63.7	54.6	59.0	57.9	60.4	56.5	51.2	46.8	44.8	43.0	36.1	31.0	28.0	26.1	23.2	20.3	17.0
2021-01-02 06:45:21	71.6						41.4	45.1	44.5	39.3	46.7	44.4	55.1	57.9	62.4	59.5	58.5	68.6	73.7	67.0	53.3	57.0	54.9	58.4	57.4	53.5	51.3	43.3	41.7	37.5	33.3	30.7	27.3	24.7	21.5	17.0
2021-01-02 06:45:22	72.0						44.3	49.4	45.0	39.0	50.5	45.7	55.7	58.1	56.9	60.9	59.8	67.4	74.5	65.9	53.3	58.1	53.4	60.2	59.1	52.4	48.2	41.5	46.6	41.5	34.2	30.9	27.8	25.2	21.8	16.9
2021-01-02 06:45:23	56.8						34.5	37.3	32.6	32.8	36.1	29.8	39.1	53.4	43.9	41.2	46.7	46.3	59.4	45.3	35.1	38.8	34.9	47.5	40.8	33.5	29.9	30.9	32.6	31.8	31.3	30.4	28.9	26.1	21.8	16.8
2021-01-02 06:45:24	58.9						30.3	33.1	29.6	31.6	34.3	27.6	45.9	66.6	43.5	41.5	56.5	49.3	58.2	55.2	49.1	48.8	44.9	41.1	39.1	43.7	43.6	39.5	36.3	34.4	32.7	34.0	31.3	29.9	27.0	26.9
2021-01-02 06:45:25	49.6						38.6	38.9	31.2	32.2	35.2	28.1	36.2	48.3	35.2	44.4	41.9	37.9	39.8	39.3	39.2	36.4	36.9	40.1	34.8	33.8	33.0	36.5	40.6	39.0	34.6	33.3	31.1	28.5	25.9	26.0
2021-01-02 06:45:26	101.4						74.3	74.0	72.2	71.6	69.4	79.4	84.7	75.5	83.6	91.4	84.3	86.6	86.7	85.3	90.7	96.7	95.2	89.3	93.8	86.2	86.4	82.3	81.1	84.0	80.9	78.4	76.2	73.7	70.7	67.9
2021-01-02 06:45:27	77.6						53.8	50.7	48.2	45.0	44.8	55.0	62.2	52.5	59.4	66.9	59.7	61.4	61.0	58.8	64.4	70.8	69.7	64.0	68.7	61.5	61.2	56.8	56.4	59.4	55.8	53.2	50.8	48.6	45.3	42.9
2021-01-02 06:45:28	73.6						41.0	44.6	41.1	41.0	46.2	43.7	55.7	60.6	56.9	80.4	68.4	67.1	69.8	63.1	61.3	61.3	58.5	65.4	60.9	55.5	52.4	52.7	46.4	42.9	37.0	34.0	31.7	29.1	25.1	19.2
2021-01-02 06:45:29	68.9						46.5	42.5	35.3	42.5	47.7	47.1	53.9	57.0	51.8	71.7	62.8	63.2	66.1	60.1	54.2	57.1	53.1	59.7	57.9	49.8	50.1	50.8	45.7	42.1	37.1	34.9	32.0	29.4	25.1	19.3
2021-01-02 06:45:30	85.5						40.0	38.1	33.0	37.5	55.0	70.6	86.9	96.5	86.6	84.2	76.7	73.3	74.3	74.2	72.6	73.0	77.1	75.4	78.1	74.3	61.8	53.8	46.7	41.7	35.8	33.5	29.4	26.9	23.6	18.6
2021-01-02 06:45:31	86.8						50.4	43.2	35.7	43.7	57.7	75.5	90.4	97.6	89.2	86.3	77.5	76.2	76.1	74.2	73.4	73.1	76.0	75.0	74.8	70.2	60.7	50.8	44.4	39.0	33.6	31.7	29.6	27.2	25.7	24.1
2021-01-02 06:45:32	73.7						58.3	50.0	49.0	47.4	44.6	46.8	79.1	80.3	76.4	72.2	68.9	66.1	64.5	68.3	64.0	67.7	66.6	66.8	68.6	64.3	53.6	48.0	40.6	39.1	33.9	32.1	29.6	27.2	23.5	18.7
2021-01-02 06:45:33	87.3						61.3	50.6	42.8	48.2	58.8	79.7	93.5	92.9	89.5	87.7	80.6	77.8	77.9	79.3	76.2	77.6	78.2	77.6	77.2	70.8	60.4	54.1	44.5	39.9	33.1	32.6	30.7	27.9	22.7	17.4
2021-01-02 06:45:34	78.7						43.2	48.6	38.5	43.9	51.8	70.4	85.6	85.5	80.2	81.1	73.6	70.5	70.5	71.7	70.4	67.6	67.8	66.1	64.1	56.5	49.3	47.1	43.1	31.2	32.0	33.2	28.3	25.3	21.3	17.7
2021-01-02 06:45:35	84.1						55.0	54.2	39.4	45.9	47.3	46.6	61.7	61.9	77.0	88.0	78.3	66.6	84.6	81.4	72.2	69.4	69.1	69.8	66.4	67.4	61.1	54.1	48.1	42.1	36.8	34.1	29.4	26.5	23.3	18.0
2021-01-02 06:45:36	85.9						64.5	57.8	45.9	50.3	51.2	44.1	63.4	78.6	66.4	80.0	79.2	67.6	74.9	69.6	68.1	66.9	73.0	71.1	82.1	80.4	57.3	61.7	60.2	45.0	38.3	34.5	30.7	28.4	25.1	22.1
2021-01-02 06:45:37	87.7						60.1	51.7	40.9	50.0	44.4	56.0	61.6	85.5	83.8	70.6	78.5	77.7	72.8	69.2	67.1	71.0	73.8	76.9	85.6	70.2	61.0	60.2	50.9	44.0	37.6	36.9	36.6	33.4	28.1	24.7
2021-01-02 06:45:38	85.3						54.1	49.0	34.3	39.6	49.7	71.7	61.9	76.1	93.2	79.1	75.2	83.0	79.0	76.0	73.9	74.5	74.6	74.1	72.0	68.5	63.1	58.8	51.7	46.2	39.8	33.4	26.4	21.5	18.8	14.5
2021-01-02 06:45:39	81.0						43.9	41.7	32.7	43.5	48.0	61.0	83.8	81.5	87.0	78.3	71.5	76.2	68.4	70.1	71.4	69.9	71.8	68.5	73.4	66.9	58.7	51.6	45.2	41.0	39.5	37.9	33.8	32.2	30.8	28.3
2021-01-02 06:45:40	86.2						54.1	43.2	31.6	41.0	45.1	71.2	81.6	88.2	89.0	82.5	80.2	75.3	72.7	75.2	74.6	72.1	75.6	73.9	80.3	79.0	60.5	59.5	57.4	44.0	35.7	29.5	29.0	27.6	24.2	19.3
2021-01-02 06:45:41	82.6						49.0	44.2	34.9	43.3	46.2	73.0	79.1	88.4	86.9	81.7	79.5	74.2	72.1	73.3	71.0	70.4	74.7	73.0	70.0	69.5	55.3	49.1	44.5	35.8	31.1	28.7	27.6	25.9	22.9	20.5
2021-01-02 06:45:42	78.2						42.2	43.4	37.2	39.1	48.8	64.3	83.4	80.5	79.9	77.2	72.3	64.7	71.6	67.3	69.1	72.9	69.9	67.4	62.1	58.6	44.8	38.4	32.8	26.5	33.9	28.8	23.0	20.6	16.9	18.5
